ID	Cusps	OPC
771	1	10.250000
772	1	14.250000
773	1	15.250000
774	0	12.000000
775	1	35.000000
776	0	9.500000
777	1	9.000000
778	1	22.750000
779	1	8.500000
780	1	10.500000
781	0	2.750000
782	0	9.500000
783	1	28.000000
784	0	10.250000
785	5	62.000000
786	1	9.250000
787	0	9.500000
788	1	16.000000
789	1	11.250000
790	0	10.250000
791	0	8.500000
792	0	12.000000
793	1	9.000000
794	1	9.500000
795	2	33.000000
796	1	11.250000
797	28	178.875000
798	1	47.000000
799	0	8.500000
800	0	10.500000
801	0	12.000000
802	7	216.125000
803	0	11.375000
804	1	14.750000
805	0	8.250000
806	1	9.500000
807	0	9.500000
808	0	9.000000
809	1	25.000000
810	0	11.500000
811	1	9.500000
812	1	11.500000
813	0	8.500000
814	3	43.500000
815	0	9.500000
816	0	9.750000
817	1	12.000000
818	0	10.250000
819	0	11.750000
820	1	18.750000
821	1	10.500000
822	1	9.500000
823	12	110.250000
824	1	12.750000
825	1	9.250000
826	1	9.500000
827	1	9.125000
828	0	8.500000
829	0	12.000000
830	0	12.000000
831	1	18.500000
832	1	9.375000
833	1	8.500000
834	1	12.500000
835	1	10.500000
836	0	9.500000
837	1	20.875000
838	0	8.500000
839	0	5.750000
840	6	64.125000
841	1	10.500000
842	1	9.250000
843	1	12.750000
844	0	9.500000
845	0	12.000000
846	0	11.750000
847	0	10.500000
848	1	8.500000
849	1	9.500000
850	1	9.750000
851	1	10.500000
852	0	11.750000
853	12	222.500000
854	13	84.750000
855	0	10.500000
856	0	12.000000
857	0	10.500000
858	0	11.625000
859	1	11.250000
860	0	11.250000
861	12	85.000000
862	1	9.500000
863	1	10.500000
864	0	10.500000
865	1	9.000000
866	0	3.250000
867	1	9.500000
868	17	310.625000
869	1	10.250000
870	0	7.250000
871	0	7.750000
872	0	10.500000
873	1	8.500000
874	1	9.500000
875	1	16.750000
876	2	39.125000
877	1	9.500000
878	1	10.750000
879	1	8.500000
880	1	10.375000
881	1	25.000000
882	1	11.500000
883	0	4.750000
884	1	15.625000
885	0	4.500000
886	1	10.000000
887	34	430.375000
888	0	11.750000
889	20	100.000000
890	0	10.375000
891	0	5.500000
892	0	11.500000
893	0	12.000000
894	0	11.500000
895	9	120.500000
896	1	8.250000
897	0	8.500000
