Complexity,Freq,Status
5.1858,1879050.0,Rand
4.445,2510239.0,Rand
7.4083,36328.0,Rand
7.4083,91910.0,Rand
5.1858,1637030.0,Rand
5.9266,654135.0,Rand
5.9266,1468586.0,Rand
5.1858,1919283.0,Rand
8.89,82539.0,Rand
5.9266,702283.0,Rand
8.1491,298481.0,Rand
7.4083,347838.0,Rand
8.89,58705.0,Rand
7.4083,167320.0,Rand
8.1491,212568.0,Rand
7.4083,99300.0,Rand
8.89,96697.0,Rand
8.89,477515.0,Rand
9.6308,279334.0,Rand
5.9266,571786.0,Rand
5.9266,1933426.0,Rand
7.4083,90280.0,Rand
8.1491,176655.0,Rand
5.9266,1663276.0,Rand
8.89,136630.0,Rand
5.9266,2048884.0,Rand
7.4083,25762.0,Rand
8.89,104244.0,Rand
8.1491,144019.0,Rand
8.1491,97558.0,Rand
7.4083,397034.0,Rand
8.89,100344.0,Rand
7.4083,58848.0,Rand
5.9266,2908942.0,Rand
8.1491,262929.0,Rand
5.1858,3809439.0,Rand
8.89,201040.0,Rand
5.1858,4372759.0,Rand
5.9266,1859637.0,Rand
7.4083,35964.0,Rand
5.9266,2299880.0,Rand
7.4083,270818.0,Rand
5.9266,324900.0,Rand
8.1491,91383.0,Rand
7.4083,61399.0,Rand
7.4083,145554.0,Rand
6.6675,101156.0,Rand
5.9266,373564.0,Rand
8.89,192632.0,Rand
8.1491,67750.0,Rand
7.4083,128711.0,Rand
7.4083,339989.0,Rand
7.4083,785035.0,Rand
5.1858,1087777.0,Rand
8.89,676074.0,Rand
7.4083,18168.0,Rand
8.1491,127881.0,Rand
8.1491,117453.0,Rand
10.3716,50008.0,Rand
8.1491,296435.0,Rand
8.89,320333.0,Rand
7.4083,65113.0,Rand
5.9266,1496783.0,Rand
8.89,212176.0,Rand
7.4083,498782.0,Rand
7.4083,394214.0,Rand
7.4083,215235.0,Rand
8.89,272408.0,Rand
8.1491,2759.0,Rand
8.1491,215789.0,Rand
8.89,380489.0,Rand
5.9266,583946.0,Rand
5.9266,1738005.0,Rand
5.9266,807505.0,Rand
7.4083,46662.0,Rand
8.1491,508581.0,Rand
8.89,36584.0,Rand
7.4083,190299.0,Rand
8.89,127838.0,Rand
7.4083,237987.0,Rand
9.6308,863347.0,Rand
8.1491,547.0,Rand
7.4083,199715.0,Rand
8.89,116449.0,Rand
5.9266,951740.0,Rand
8.1491,324099.0,Rand
8.89,13098.0,Rand
8.1491,192355.0,Rand
8.1491,3899.0,Rand
