ID	Cusps	OPC
147	0	9.500000
148	11	210.375000
149	6	95.625000
150	1	10.000000
151	0	12.000000
152	0	3.250000
153	1	12.500000
154	1	10.500000
155	2	49.125000
156	1	10.375000
157	1	21.000000
158	1	11.000000
159	0	10.500000
160	1	10.375000
161	1	9.250000
162	0	11.250000
163	1	9.750000
164	1	8.750000
165	1	12.000000
166	0	9.250000
167	1	8.500000
168	0	12.000000
169	0	11.500000
170	1	8.250000
171	1	10.500000
172	1	11.250000
173	1	9.250000
174	1	11.750000
175	1	10.500000
176	1	9.500000
177	0	9.000000
178	0	11.875000
179	9	162.500000
180	0	9.500000
181	1	39.000000
182	1	20.000000
183	0	8.500000
184	1	8.500000
185	1	10.500000
186	1	9.500000
187	1	10.500000
188	0	9.500000
189	1	8.500000
190	0	12.000000
191	1	15.625000
192	3	208.250000
193	0	12.000000
194	1	29.000000
195	0	8.500000
196	1	21.625000
197	0	11.750000
198	0	3.250000
199	0	9.500000
200	0	4.500000
201	1	11.750000
202	1	12.750000
203	1	12.000000
204	1	11.000000
205	2	2.250000
206	1	12.125000
207	0	9.250000
208	0	11.500000
209	0	11.000000
210	1	8.500000
211	0	10.000000
212	1	16.375000
213	1	19.250000
214	1	90.500000
215	1	8.500000
216	0	12.000000
217	0	8.500000
218	1	8.500000
219	1	17.875000
220	1	14.250000
221	5	197.250000
222	0	12.000000
223	0	10.750000
224	0	12.000000
225	4	167.625000
226	6	153.000000
227	1	8.500000
228	0	11.500000
229	1	10.500000
230	8	103.125000
231	0	3.750000
232	1	9.500000
233	1	18.250000
234	0	11.750000
235	1	10.500000
236	0	5.000000
237	6	122.625000
238	0	8.500000
239	1	8.750000
240	1	10.500000
241	0	9.500000
242	1	10.375000
243	1	16.125000
244	196	4841.625000
245	0	4.250000
246	0	11.000000
247	1	9.500000
248	1	11.250000
249	30	213.750000
250	1	8.500000
251	1	10.500000
252	0	9.500000
253	1	10.500000
254	1	9.375000
255	4	61.625000
256	1	10.000000
257	1	42.250000
258	0	11.500000
259	1	10.375000
260	6	144.625000
261	0	8.500000
262	0	3.500000
263	1	10.500000
264	1	8.500000
265	2	60.750000
266	0	18.375000
267	1	10.500000
268	1	10.500000
269	0	8.500000
270	0	12.000000
271	1	14.500000
272	1	10.750000
273	0	11.500000
274	1	11.000000
275	29	191.375000
276	1	11.250000
277	20	213.250000
278	0	12.000000
279	0	7.250000
280	0	11.875000
281	1	9.500000
282	0	9.375000
283	0	9.000000
284	0	11.000000
285	1	8.500000
286	8	41.375000
287	1	10.750000
